Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,40.500000,40.529999,39.480000,39.529999,39.187748,37314700
2019-01-29,39.500000,40.849998,39.470001,40.770000,40.417015,48744600
2019-01-30,40.770000,41.750000,40.730000,41.580002,41.220001,34220000
2019-01-31,41.380001,42.619999,41.349998,42.450001,42.450001,38830600
2019-02-01,42.869999,43.119999,42.549999,42.880001,42.880001,25844100
2019-02-04,42.840000,42.840000,41.959999,42.439999,42.439999,18431200
2019-02-05,42.430000,42.730000,42.060001,42.110001,42.110001,20045200
2019-02-06,41.919998,42.369999,41.790001,42.330002,42.330002,15607600
2019-02-07,42.110001,42.150002,41.209999,41.700001,41.700001,23005700
2019-02-08,41.529999,42.240002,41.490002,42.230000,42.230000,26091200
2019-02-11,42.279999,42.310001,41.509998,41.680000,41.680000,25713600
2019-02-12,41.709999,42.009998,41.389999,41.869999,41.869999,28975500
2019-02-13,41.919998,42.060001,41.389999,41.700001,41.700001,23488800
2019-02-14,41.700001,42.119999,41.619999,41.970001,41.970001,18847200
2019-02-15,42.380001,42.509998,42.080002,42.400002,42.400002,18186900
2019-02-19,42.240002,42.860001,42.189999,42.599998,42.599998,23181200
2019-02-20,42.529999,42.560001,41.930000,42.200001,42.200001,25953400
2019-02-21,42.020000,42.320000,41.860001,42.139999,42.139999,18607100
2019-02-22,42.299999,43.130001,42.220001,42.959999,42.959999,23509800
2019-02-25,43.040001,43.369999,42.939999,43.080002,43.080002,23979900
2019-02-26,42.959999,43.230000,42.799999,43.020000,43.020000,15701100
2019-02-27,42.980000,43.220001,42.810001,42.930000,42.930000,15631000
2019-02-28,42.950001,43.779999,42.919998,43.369202,43.369202,10551512
